Year,Total_Population,Variation,Percentage_Increase,Male_Population,Female_Population,Sex_Ratio
1901,4623064,,,2476390,2146674,867
1911,4174677,-448387,-9.70,2274909,1899768,835
1921,4255892,81215,1.95,2307985,1947907,844
1931,4559917,304025,7.14,2473228,2086689,844
1941,5272829,712912,15.63,2821783,2451046,869
1951,5673597,400768,7.60,3031612,2641985,871
1961,7590524,1916927,33.79,4062787,3527737,868
1971,10036431,2445907,32.22,5377044,4659387,867
1981,12922119,2885688,28.75,6909679,6012440,870
1991,16463648,3541529,27.41,8827474,7636174,865
2001,21144564,4680916,28.43,11363953,9780611,861
2011,25351462,4206898,19.90,13494734,11856728,879
